"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
0012-821X,,Earth and Planetary Science Letters,FALSE,editorial board,Institute of Earth Physics of Paris,IPGP,ST,3,https://www.journals.elsevier.com/earth-and-planetary-science-letters/editorial-board,,Elsevier,,Gold APC,,3545,2022-03-09,catalogue Elsevier
0160-4120,,Environment International,FALSE,editorial board,Institute of Earth Physics of Paris,IPGP,ST,1,https://www.journals.elsevier.com/environment-international/editorial-board,,Elsevier,,Gold APC,,3276,2022-03-09,catalogue Elsevier
0020-0190,,Information Processing Letters,FALSE,editorial board,University of Paris,Sciences,ST,1,https://www.journals.elsevier.com/information-processing-letters/editorial-board,,Elsevier,,Gold APC,,1630,2022-03-10,catalogue Elsevier
0031-9201,,Physics of the Earth and Planetary Interiors,FALSE,editorial board,Institute of Earth Physics,IPGP,ST,2,https://www.journals.elsevier.com/physics-of-the-earth-and-planetary-interiors/editorial-board,,Elsevier,,Gold APC,,2904,2022-03-16,catalogue Elsevier
0034-4257,,Remote Sensing of Environment,FALSE,editorial board,Institute of Earth Physics,IPGP,ST,1,https://www.journals.elsevier.com/remote-sensing-of-environment/editorial-board,,Elsevier,,Gold APC,,3704,2022-03-16,catalogue Elsevier
1357-2725,,The International Journal of Biochemistry & Cell Biology,FALSE,editorial board,Institut Pasteur,Santé,Health,1,https://www.sciencedirect.com/journal/the-international-journal-of-biochemistry-and-cell-biology/about/editorial-board,,Elsevier,,Gold APC,,2988,2022-03-10,catalogue Elsevier
0304-3975,,Theoretical Computer Science,FALSE,editorial board,University of Paris,Sciences,ST,1,https://www.sciencedirect.com/journal/theoretical-computer-science/about/editorial-board,,Elsevier,,Gold APC,,2242,2022-03-10,catalogue Elsevier
2352-5568,,Anaesthesia Critical Care & Pain Medicine,FALSE,editorial board,"Paris University, Lariboisière University Hospital, Departments of Anaesthesiology and Critical Care, Paris, France ; Pediatric Palliative Care Mobile Team, University Hospital Robert-Debré, Assistance Publique - Hôpitaux de Paris, Paris University, Paris, France",Santé,Health,2,https://www.journals.elsevier.com/anaesthesia-critical-care-and-pain-medicine,association : Société Francaise d'Anesthésie et de Réanimation,Elsevier,,Hybride,,3190,2022-03-01,catalogue Elsevier
2352-5800,,Anesthésie & Réanimation,FALSE,editorial board,"Paris University, Lariboisière University Hospital, Departments of Anaesthesiology and Critical Care, Paris, France ; Pediatric Palliative Care Mobile Team, University Hospital Robert-Debré, Assistance Publique - Hôpitaux de Paris, Paris University, Paris, France",Santé,Health,2,https://www.journals.elsevier.com/anesthesie-and-reanimation,association : Société Francaise d'Anesthésie et de Réanimation,Elsevier,,Hybride,,2000,2022-03-01,catalogue Elsevier
1879-7261,,Annales françaises d'oto-rhino-laryngologie et de pathologie cervico-faciale,FALSE,editorial board,"Universite Paris Diderot, Paris, France ; Universite de Paris",Santé,Health,2,https://www.journals.elsevier.com/annales-francaises-doto-rhino-laryngologie-et-de-pathologie-cervico-faciale/editorial-board,association : Société francaise d'Otorhinolaryngologie et de Chirurgie de la Face et du Cou,Elsevier,,Hybride,,2350,2022-03-01,catalogue Elsevier
