"ISSN
(print or elec)","si inactif
date
dernier 
num",title host,"editor
in
chief","Autres liens
avec UPC",Affiliation,rattachement,main_subject,"nb 
personne",source,"orga. 
scientifique","Publieurs
/Plateformes","looks like
predatory",model_eco,"modele eco
verbeux","APC 
montant
€","date
enregistrement","identification 
type"
1078-1552,,Journal of Oncology Pharmacy Practice,FALSE,editorial board,University of Paris V - Rene Descartes,Santé,Health,1,https://journals.sagepub.com/editorial-board/oppa,,SAGE,,Subscription,,,2022-03-03,"openeditors ""descartes"""
2160-8717,,Open Journal of Stomatology,FALSE,editorial board,University René Descartes,Santé,Health,1,https://www.scirp.org/journal/ojst,,Scientific Research Publishing,TRUE,Gold APC,,812,2022-03-03,"openeditors ""descartes"""
1741-7015,,BMC Medicine,FALSE,editorial board,Paris Descartes University,Santé,Health,1,https://bmcmedicine.biomedcentral.com/about/editorial-board,,Springer Nature,,Gold APC,,2990,2022-03-02,"openeditors ""descartes"""
2045-8118,,Fluids and Barriers of the CNS,FALSE,editorial board,University Paris Descartes,Santé,Health,1,https://fluidsbarrierscns.biomedcentral.com/about/editorial-board,,Springer Nature,,Gold APC,,2490,2022-03-02,"openeditors ""descartes"""
2051-4190,,Basic and Clinical Andrology,FALSE,editorial board,université Paris Diderot,Santé,Health,1,https://bacandrology.biomedcentral.com/about/editorial-board,association : Société d'Andrologie de Langue française,BioMedCentral,,Gold APC,,2190,2022-03-02,"openeditors ""diderot"""
1364-8535,,Critical Care,FALSE,editorial board,Paris Diderot University,Santé,Health,1,https://ccforum.biomedcentral.com/about/editorial-board,,BioMedCentral,,Gold APC,,3090,2022-03-02,"openeditors ""diderot"""
2522-5782,,Journal of Cannabis Research,FALSE,editorial board,Paris Diderot University,Sciences,ST,1,https://jcannabisresearch.biomedcentral.com/about/editorial-board,laboratoire : Institute of Cannabis Research,BioMedCentral,,Gold APC,,1690,2022-03-02,"openeditors ""diderot"""
1743-8977,,Particle and Fibre Toxicology,FALSE,editorial board,Paris Diderot University,Santé,Health,1,https://particleandfibretoxicology.biomedcentral.com/about/editorial-board,,BioMedCentral,,Gold APC,,2890,2022-03-03,"openeditors ""diderot"""
2364-2807,,Interdisciplinary Journal for Religion and Transformation in Contemporary Society,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://brill.com/view/journals/jrat/jrat-overview.xml?contents=editorialcontent-49636,,Brill,,Gold APC,,2297,2022-03-02,"openeditors ""diderot"""
1877-6930,,Brill's Journal of Afroasiatic Languages and Linguistics,FALSE,editorial board ; reviewer,University Paris 7 - Denis Diderot ; Université de Paris,Sociétés et Humanités,HSS,2,https://brill.com/view/journals/aall/aall-overview.xml?contents=editorialcontent-49636,,Brill,,Hybride,,2297,2022-03-02,"openeditors ""diderot"""
1960-6028,,Cahiers de Linguistique Asie Orientale,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://brill.com/view/journals/clao/clao-overview.xml?contents=editorialcontent-49636,laboratoire : Centre de Recherches Linguistiques sur L´Asie Orientale,Brill,,Hybride,,2297,2022-03-02,"openeditors ""diderot"""
1874-9275,,Erasmus Studies,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://brill.com/view/journals/eras/eras-overview.xml?contents=editorialcontent-49636,association : Erasmus of Rotterdam Society,Brill,,Hybride,,2297,2022-03-02,"openeditors ""diderot"""
2667-0127,,Implementation and Replication Studies in Mathematics Education,FALSE,editorial board,Paris Diderot University,Sciences,ST,1,https://brill.com/view/journals/irme/irme-overview.xml?contents=editorialcontent-49636,,Brill,,Hybride,,2297,2022-03-02,"openeditors ""diderot"""
1540-6253,,Journal of Chinese Philosophy,FALSE,reviewer ; contributory board,University Paris-Diderot (Paris-7) ; University of Paris-Diderot (Paris-7),Sociétés et Humanités,HSS,2,https://brill.com/view/journals/jcph/jcph-overview.xml?contents=editorialcontent-49636,,Brill,,Hybride,,2297,2022-03-03,"openeditors ""diderot"""
2050-5094,,"Forum of Mathematics, Sigma",FALSE,editorial board,"Université Paris Diderot - Paris 7|UFR de Mathématiques, Case 7012",Sciences,ST,1,https://www.cambridge.org/core/journals/forum-of-mathematics-sigma/information/editorial-board,,Cambridge University Press,,Gold APC,,1351,2022-03-02,"openeditors ""diderot"""
1475-4819,,Iranian Studies,FALSE,editorial board,Université Paris Diderot,Sociétés et Humanités,HSS,1,https://www.cambridge.org/core/journals/iranian-studies/information/editorial-board,,Cambridge University Press,,Hybride,,2969,2022-03-02,"openeditors ""diderot"""
2296-4185,,Frontiers in Bioengineering and Biotechnology,FALSE,editorial board ; reviewer,Université Paris Descartes ; Université Paris Diderot,Sciences,ST,2,https://www.frontiersin.org/journals/bioengineering-and-biotechnology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2673-7647,,Frontiers in Bioinformatics,FALSE,reviewer,Université Paris Diderot,Sciences,ST,1,https://www.frontiersin.org/journals/bioinformatics#editorial-board,,Frontiers,,Gold APC,,1711,2022-03-02,"openeditors ""diderot"""
2235-2988,,Frontiers in Cellular and Infection Microbiology,FALSE,reviewer,Université Paris Diderot,Santé,Health,1,https://www.frontiersin.org/journals/cellular-and-infection-microbiology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-2392,,Frontiers in Endocrinology,FALSE,reviewer ; editorial board,Université Paris Diderot,Santé,Health,4,https://www.frontiersin.org/journals/endocrinology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-8021,,Frontiers in Genetics  ,FALSE,reviewer ; editorial board,Université Paris Diderot,Sciences,ST,4,https://www.frontiersin.org/journals/genetics#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-3224,,Frontiers in Immunology,FALSE,reviewer ; speciality chief editor ; editorial board,Université Paris Diderot ; Université Paris Descartes,Santé,Health,12,https://www.frontiersin.org/journals/immunology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2296-8016,,Frontiers in Materials,FALSE,reviewer,Université Paris Diderot  ,Sciences,ST,2,https://www.frontiersin.org/journals/materials#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2296-858X,,Frontiers in Medicine,FALSE,reviewer ; specialty chief editor,Université Paris Diderot ; Université Paris Descartes,Santé,Health,3,https://www.frontiersin.org/journals/medicine#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-302X,,Frontiers in Microbiology,FALSE,reviewer ; speciality chief editor ; editorial board,Université René Descartes ; Université Paris Descartes,IPGP ; Santé,ST,3,https://www.frontiersin.org/journals/microbiology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2296-889X,,Frontiers in Molecular Bioscience,FALSE,reviewer ; speciality chief editor ; editorial board,Université Paris Diderot ; Université Paris Descartes,Santé,Health,14,https://www.frontiersin.org/journals/molecular-biosciences#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-2295,,Frontiers in Neurology,FALSE,reviewer ; editorial board,Université Paris Diderot ; Université Paris Descartes ; Institut Pasteur Paris,Santé,Health,5,https://www.frontiersin.org/journals/neurology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1662-453X,,Frontiers in Neuroscience,FALSE,reviewer ; editorial board,"Université Paris Diderot ; Institut Pasteur Paris, Institut de l'audition",Santé,Health,5,https://www.frontiersin.org/journals/neuroscience#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1663-9812,,Frontiers in Pharmacology,FALSE,reviewer ; editorial board,Université Paris Diderot ; Université Paris Descartes ; Institut Pasteur Paris,Santé,Health,7,https://www.frontiersin.org/journals/pharmacology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2296-424X,,Frontiers in Physics,FALSE,reviewer,Université Paris Diderot ; Institut Pasteur Paris,Sciences,ST,4,https://www.frontiersin.org/journals/physics#editorial-board,,Frontiers,,Gold APC,,2243,2022-03-02,"openeditors ""diderot"""
1664-042X,,Frontiers in Physiology,FALSE,editorial board ; reviewer,Université Paris Diderot  ,Santé,Health,8,https://www.frontiersin.org/journals/physiology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-0640,,Frontiers in Psychiatry,FALSE,reviewer ; editorial board,Université Paris Diderot,Santé,Health,3,https://www.frontiersin.org/journals/psychiatry#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
1664-1078,,Frontiers in Psychology,FALSE,reviewer ; editorial board,Université Paris Diderot ; Université Paris Descartes ; Institut de l'audition de l'institut Pasteur,Santé,Health,7,https://www.frontiersin.org/journals/psychology#editorial-board,,Frontiers,,Gold APC,,2657,2022-03-02,"openeditors ""diderot"""
2297-7775,,Frontiers in Sociology,FALSE,reviewer,"Université Paris Diderot, CRPMS",Santé,Health,1,https://www.frontiersin.org/journals/sociology#editorial-board,,Frontiers,,Gold APC,,856,2022-03-02,"openeditors ""diderot"""
2314-758X,,Advances in medicine,FALSE,academic editor,université Paris Diderot - Paris 7,Santé,Health,1,https://www.hindawi.com/journals/amed/editors/,,Hindawi,,Gold APC,,698,2022-03-02,"openeditors ""diderot"""
1687-9635,,Case Reports in Medicine,FALSE,academic editor,Paris-Diderot University,Santé,Health,1,https://www.hindawi.com/journals/crim/editors/,,Hindawi,,Gold APC,,630,2022-03-02,"openeditors ""diderot"""
2090-9071,,Journal of Chemistry,FALSE,academic editor,Université Paris Diderot-Paris 7,Sciences,ST,1,https://www.hindawi.com/journals/jchem/editors/,,Hindawi,,Gold APC,,1781,2022-03-03,"openeditors ""diderot"""
1687-4129,,Journal of Nanomaterials,FALSE,academic editor,Universite Paris 7- Denis Diderot,Sciences,ST,1,https://www.hindawi.com/journals/jnm/editors/,,Hindawi,,Gold APC,,2074,2022-03-03,"openeditors ""diderot"""
2451-909X,,FORUM. Revue internationale d'interprétation et de traduction,FALSE,editorial board,Université Paris Diderot - Paris 7,Sociétés et Humanités,HSS,1,https://benjamins.com/catalog/forum,,John Benjamins Publishing Company,,Subscription,,,2022-03-02,"openeditors ""diderot"""
1569-9994,,Terminology. International Journal of Theoretical and Applied Issues in Specialized Communication,FALSE,editorial board,Université Paris-Diderot ; Université de Paris,Sociétés et Humanités,HSS,2,https://benjamins.com/catalog/term,,John Benjamins Publishing Company,,Subscription,,,2022-03-03,"openeditors ""diderot"""
1423-0194,,Neuroendocrinology,FALSE,editorial board,Université Paris Diderot and Hôpital Robert Debré,Santé,Health,1,https://www.karger.com/Journal/EditorialBoard/223855,,Karger,,Hybride,,,2022-03-03,"openeditors ""diderot"""
2673-7426,,BioMedInformatics,FALSE,editorial board,"Department of Biological Research on the Red Blood Cells, INSERM UMR_S 1134, Université de Paris",Santé,Health,1,https://www.mdpi.com/journal/biomedinformatics/editors,,MDPI,,Gold APC,,1958,2022-03-02,"openeditors ""diderot"""
2079-6374,,Biosensors,FALSE,editorial board,"Chemistry Department, University Paris Diderot",Sciences,ST,1,https://www.mdpi.com/journal/biosensors/editors,,MDPI,,Gold APC,,1958,2022-03-02,"openeditors ""diderot"""
2072-666X,,Micromachines,FALSE,editorial board,"Laboratoire MSC, UMR 7057 CNRS, Université Paris Diderot ; Centre de Recherche des Cordeliers, INSERM, Sorbonne Université, USPC, Université Paris Descartes, Université Paris Didero",Santé ; Sciences,ST,2,https://www.mdpi.com/journal/micromachines/editors,,MDPI,,Gold APC,,1962,2022-03-03,"openeditors ""diderot"""
2571-6980,,Neuroglia,FALSE,editorial board,"Institut National de la Santé et de la Recherche (INSERM), Universite Paris 7- Denis Diderot",Santé,Health,1,https://www.mdpi.com/journal/neuroglia/editors,,MDPI,,Gold APC,,981,2022-03-03,"openeditors ""diderot"""
2673-4176,,Polysaccharides,FALSE,editorial board,"Inserm, U1148, LVTS, University Paris Diderot, X Bichat Hospital",Santé,Health,1,https://www.mdpi.com/journal/polysaccharides/editors,,MDPI,,Gold APC,,981,2022-03-03,"openeditors ""diderot"""
2054-4715,,Cahiers Élisabéthains: A Journal of English Renaissance Studies,FALSE,editorial board,Universite Paris Diderot ,Sociétés et Humanités,HSS,1,https://journals.sagepub.com/editorial-board/caea,laboratoire : IRCL UMR 5186,SAGE,,Subscription,,,2022-03-02,"openeditors ""diderot"""
2475-5303,,Journal of Psoriasis and Psoriatic Arthritis,FALSE,editorial board,"Hôpital Saint-Louis Sorbonne Paris Cité, Université Paris Diderot",Santé,Health,1,https://journals.sagepub.com/editorial-board/jpsa,,SAGE,,Subscription,,,2022-03-03,"openeditors ""diderot"""
2162-2442,,Journal of Mathematical Finance,FALSE,editorial board,University of Paris Descartes,Sciences,ST,1,https://www.scirp.org/journal/editorialboard.aspx?journalid=648,,Scientific Research Publishing,TRUE,Gold APC,,546,2022-03-02,"openeditors ""diderot"""
2296-987X,,Frontiers in in Astronomyand Space Sciences,FALSE,reviewer,IPGP,IPGP,ST,1,https://www.frontiersin.org/journals/astronomy-and-space-sciences/editors,,Frontiers,,Gold APC,,1040,2022-03-04,"openeditors ""ipgp"""
2296-7745,,Frontiers in in Marine Science,FALSE,reviewer,IPGP,IPGP,ST,1,https://www.frontiersin.org/journals/marine-science#editorial-board,,Frontiers,,Gold APC,,2670,2022-03-04,"openeditors ""ipgp"""
2590-2075,,Biofilm,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/biofilm/editorial-board,,Elsevier,,Gold APC,,2015,2022-03-04,"openeditors ""pasteur 'and' paris"""
2468-0672,,HardwareX,FALSE,editorial board,Pasteur Institute Department of Neuroscinece,Institut Pasteur,Health,1,https://www.journals.elsevier.com/hardwarex/editorial-board,,Elsevier,,Gold APC,,458,2022-03-04,"openeditors ""pasteur 'and' paris"""
1438-4221,,International Journal of Medical Microbiology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,4,https://www.journals.elsevier.com/international-journal-of-medical-microbiology/editorial-board,,Elsevier,,Gold APC,,2281,2022-03-04,"openeditors ""pasteur 'and' paris"""
1876-0341,,Journal of Infection and Public Health,FALSE,editorial board,"Pasteur Institute Center for Global Health, Paris",Institut Pasteur,Health,1,https://www.journals.elsevier.com/journal-of-infection-and-public-health/editorial-board,"ministere : The Official Publication of the Saudi Arabian Ministry of National Guard Health Affairs, King Saud Bin Abdulaziz University for Health Sciences and Saudi Association for Public Health",Elsevier,,Gold APC,,1374,2022-03-04,"openeditors ""pasteur 'and' paris"""
2590-1524,,Journal of Structural Biology: X,FALSE,editorial board,"Institut Pasteur, Dept. de Virologie",Institut Pasteur,Health,1,https://www.journals.elsevier.com/journal-of-structural-biology-x/editorial-board,,Elsevier,,Gold APC,,1832,2022-03-04,"openeditors ""pasteur 'and' paris"""
2468-2330,,The Cell Surface,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.journals.elsevier.com/the-cell-surface/editorial-board,,Elsevier,,Gold APC,,2015,2022-03-04,"openeditors ""pasteur 'and' paris"""
0042-6822,,Virology,FALSE,editorial board,Pasteur Institute Department of Microbiology,Institut Pasteur,Health,1,https://www.journals.elsevier.com/virology/editorial-board,association : World Society for Virology,Elsevier,,Gold APC,,2931,2022-03-04,"openeditors ""pasteur 'and' paris"""
0300-9084,,Biochimie,FALSE,editorial board,"Institut Pasteur ; Université de Paris, Campus Saint-Germain-des-Prés",Institut Pasteur ; Science,ST,4,https://www.journals.elsevier.com/biochimie/editorial-board,,Elsevier,,Hybride,,2638,2022-03-04,"openeditors ""pasteur 'and' paris"""
2667-2901,,Cells & Development,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/cells-and-development/editorial-board,,Elsevier,,Hybride,,2758,2022-03-04,"openeditors ""pasteur 'and' paris"""
0955-0674,,Current Opinion in Cell Biology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/current-opinion-in-cell-biology/editorial-board,,Elsevier,,Hybride,,4149,2022-03-04,"openeditors ""pasteur 'and' paris"""
0959-4388,,Current Opinion in Neurobiology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/current-opinion-in-neurobiology/editorial-board,,Elsevier,,Hybride,,3984,2022-03-04,"openeditors ""pasteur 'and' paris"""
2588-9311,,European Urology Oncology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/european-urology-oncology/editorial-board,,Elsevier,,Hybride,,3023,2022-03-04,"openeditors ""pasteur 'and' paris"""
0168-1605,,International Journal of Food Microbiology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/international-journal-of-food-microbiology/editorial-board,association : International Committee on Food Microbiology and Hygiene,Elsevier,,Hybride,,3829,2022-03-04,"openeditors ""pasteur 'and' paris"""
0022-1759,,Journal of Immunological Methods,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/journal-of-immunological-methods/editorial-board,association : Association of Medical Laboratory Immunologists,Elsevier,,Hybride,,2510,2022-03-04,"openeditors ""pasteur 'and' paris"""
0022-2836,,Journal of Molecular Biology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/journal-of-molecular-biology/editorial-board,,Elsevier,,Hybride,,3435,2022-03-04,"openeditors ""pasteur 'and' paris"""
1047-8477,,Journal of Structural Biology,FALSE,editorial board,"Institut Pasteur, Dept. de Virologie",Institut Pasteur,Health,1,https://www.journals.elsevier.com/journal-of-structural-biology/editorial-board,,Elsevier,,Hybride,,3480,2022-03-04,"openeditors ""pasteur 'and' paris"""
0166-6851,,Molecular and Biochemical Parasitology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/molecular-and-biochemical-parasitology/editorial-board,,Elsevier,,Hybride,,2684,2022-03-04,"openeditors ""pasteur 'and' paris"""
0027-5107,,Mutation Research - Fundamental and …,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/mutation-research-fundamental-and-molecular-mechanisms-of-mutagenesis/editorial-board,,Elsevier,,Hybride,,2473,2022-03-04,"openeditors ""pasteur 'and' paris"""
0923-2508,,Research in Microbiology,TRUE,editorial board,Institut Pasteur,Institut Pasteur,Health,9,https://www.journals.elsevier.com/research-in-microbiology/editorial-board,,Elsevier,,Hybride,,1786,2022-03-04,"openeditors ""pasteur 'and' paris"""
1044-5323,,Seminars in Immunology,FALSE,editorial board,Institut Pasteur ; Institut IMAGINE-INSERM 1163,Institut Pasteur ; Santé,Health,2,https://www.journals.elsevier.com/seminars-in-immunology/editorial-board,,Elsevier,,Hybride,,3572,2022-03-04,"openeditors ""pasteur 'and' paris"""
1499-3872,,Hepatobiliary & Pancreatic Diseases …,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.journals.elsevier.com/hepatobiliary-and-pancreatic-diseases-international/editorial-board,,Elsevier,,Subscription,,,2022-03-04,"openeditors ""pasteur 'and' paris"""
1662-5102,,Frontiers in Cellular Neuroscience,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.frontiersin.org/journals/cellular-neuroscience/editors,,Frontiers,,Gold APC,,2704,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-6128,,Frontiers in Fungal Biology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.frontiersin.org/journals/fungal-biology/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-3439,,Frontiers in Genome Editing,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,3,https://www.frontiersin.org/journals/genome-editing/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-3129,,Frontiers in Medical Technology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.frontiersin.org/journals/medical-technology/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
1662-5196,,Frontiers in Neuroinformatics,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.frontiersin.org/journals/neuroinformatics/editors,,Frontiers,,Gold APC,,2704,2022-03-04,"openeditors ""pasteur 'and' paris"""
1663-3563,,Frontiers in Synaptic Neuroscience,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.frontiersin.org/journals/synaptic-neuroscience#editorial-board,,Frontiers,,Gold APC,,2282,2022-03-04,"openeditors ""pasteur 'and' paris"""
2674-0702,,Frontiers in Systems Biology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.frontiersin.org/journals/systems-biology/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-7515,,Frontiers in Tropical Diseases,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.frontiersin.org/journals/tropical-diseases/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-818X,,Frontiers in Virology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,3,https://www.frontiersin.org/journals/virology/editors,,Frontiers,,Gold APC,,1741,2022-03-04,"openeditors ""pasteur 'and' paris"""
0300-5526,,Intervirology,TRUE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.karger.com/Journal/EditorialBoard/224031,,Karger,,Gold APC,,1150,2022-03-15,"openeditors ""pasteur 'and' paris"""
2673-1673,,Microbial Physiology,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.karger.com/Journal/EditorialBoard/228391,,Karger,,Gold APC,,675,2022-03-04,"openeditors ""pasteur 'and' paris"""
2313-5786,,Allergies,TRUE,,Institut Pasteur,Institut Pasteur,Health,1,https://www.mdpi.com/journal/allergies/editors,,MDPI,,Gold APC,,995,2022-03-04,"openeditors ""pasteur 'and' paris"""
2673-5601,,Immuno,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://www.mdpi.com/journal/immuno/editors,,MDPI,,Gold APC,,995,2022-03-04,"openeditors ""pasteur 'and' paris"""
2309-608X,,Journal of Fungi,FALSE,editorial board,"Université de Paris, Hôpital Necker-Enfants Malades ; Institut Pasteur",Institut Pasteur ; Santé ,Health,3,https://www.mdpi.com/journal/jof/editors,,MDPI,,Gold APC,,1991,2022-03-04,"openeditors ""pasteur 'and' paris"""
2076-0817,,Pathogens,FALSE,editorial board,"Groupe Hospitalier Saint-Louis-Lariboisière-Fernand-Widal, Université de Paris ; Institut Pasteur",Institut Pasteur ; Santé ,Health,1,https://www.mdpi.com/journal/pathogens/editors,,MDPI,,Gold APC,,2190,2022-03-04,"openeditors ""pasteur 'and' paris"""
2072-6651,,Toxins,TRUE,editorial board,Institut Pasteur,Institut Pasteur,Health,3,https://www.mdpi.com/journal/toxins/editors,,MDPI,,Gold APC,,2390,2022-03-04,"openeditors ""pasteur 'and' paris"""
1935-2727,,PLOS Neglected Tropical Diseases,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,9,https://journals.plos.org/plosntds/s/editorial-board,,PLOS,,Gold APC,,2287,2022-03-04,"openeditors ""pasteur 'and' paris"""
1073-8584,,The Neuroscientist,FALSE,editorial board,Institut Pasteur,Institut Pasteur,Health,1,https://journals.sagepub.com/editorial-board/nroa,,SAGE,,Subscription,,,2022-03-04,"openeditors ""pasteur 'and' paris"""
2055-5008,,npj Biofilms and Microbiomes,TRUE,editorial board,Institut Pasteur,Institut Pasteur,Health,2,https://www.nature.com/npjbiofilms/editors,,Springer Nature,,Gold APC,,2890,2022-03-04,"openeditors ""pasteur 'and' paris"""
1476-5470,,Genes & Immunity,TRUE,,Institut Pasteur,Institut Pasteur,Health,1,https://www.nature.com/gene/editors,,Springer Nature,,Hybride,,3190,2022-03-04,"openeditors ""pasteur 'and' paris"""
1965-0213,,Recherches en psychanalyse,TRUE,editorial board,"Laboratoire CRPMS, Université de Paris",Santé,Health,6,https://www.cairn.info/revue-recherches-en-psychanalyse.htm?contenu=apropos,,Cairn,,Subscription,,,2022-02-25,sérendipité
2259-2490,,"Revue interdisciplinaire sur le management, l'humanisme et l'entreprise",TRUE,editorial board,"Université de Paris, CEDAG",Sociétés et Humanités,HSS,2,https://www.rimhe.com/25+comite-de-redaction.html,association : association pour la recherche interdisciplinaire sur le management des entreprises,Cairn,,Subscription,,,2022-03-01,sérendipité
2118-2892,,Tumultes,TRUE,dir de pub ; editorial board,Université de Paris,Sociétés et Humanités,HSS,7,https://www.cairn.info/revue-tumultes.htm?contenu=apropos,,Cairn,,Subscription,,,2022-02-25,sérendipité
1777-5884,,Annales de géographie,FALSE,editorial board,UMR 245 CESSMA ; UMR 8504 Géographies-cités,Sociétés et Humanités,HSS,3,https://www.cairn.info/revue-annales-de-geographie.htm?contenu=apropos,,Cairn ; Armand Colin,,Subscription,abonnement papier,,2022-02-24,sérendipité
1294-6303,,"Travail, genre et sociétés",FALSE,editorial board,"Université Paris Descartes, CERLIS",Sociétés et Humanités,HSS,3,http://www.travail-genre-societes.com/comite-de-redaction/,laboratoire : Réseau de recherche international et pluridisciplinaire « Marché du travail et genre » (Mage),Cairn ; La découverte,,Subscription,abonnement papier,,2022-02-24,sérendipité
1474-7480,,Le Journal de l’Institut de Mathématiques de Jussieu,TRUE,editorial board,Université Denis Diderot ; Institut de Mathématiques de Jussieu,Sciences,ST,6,https://www.cambridge.org/core/journals/journal-of-the-institute-of-mathematics-of-jussieu/information/editorial-board,laboratoire : Institut de Mathématiques de Jussieu,Cambridge University Press,,Hybride,,2969,2022-02-22,sérendipité
2804-7346,,RAIRO - Theoretical Informatics and Applications (RAIRO: ITA),TRUE,,LIAFA/Université Denis Diderot,Sciences,ST,1,https://www.rairo-ita.org/about-the-journal/editorial-board,,EDP Sciences,,S2O,,,2022-02-22,sérendipité
0923-2508,,Research in Microbiology,TRUE,editorial board,Pasteur Institute Department of Microbiology ; Institut Pasteur,Sciences ; Pasteur,ST,8,https://www.journals.elsevier.com/research-in-microbiology/editorial-board,,Elsevier,,Hybride,,1773,2022-02-25,sérendipité
1875-0672,,"ALTER - European journal of disability research european journal of disability research, revue européenne de recherche sur le handicap",TRUE,editorial board,"CERLIS, Université Paris Descartes ; CERMES3, Université Paris Descartes",Sociétés et Humanités,HSS,2,https://www.em-consulte.com/revue/ALTER/presentation/alter-european-journal-of-disability-research,,Elsevier,,Subscription,,,2022-02-25,sérendipité
2105-5203,2020,Cahiers du laboratoire de didactique André Revuz,FALSE,,,Sciences,ST,,https://irem.u-paris.fr/ressources-en-ligne-de-lirem-de-paris-documents-videos-liens/cahiers-de-didactique-irem-de-paris-ldar,institut : IREM de Paris,Université Paris Cité,,Diamond,,,2022-02-25,sérendipité
0224-2958,2002,Cahiers d'études vietnamiennes,FALSE,,"Université de Paris VII, U.E.R. de langues et civilisations de l'Asie orientale",Sociétés et Humanités,HSS,,http://www.gis-reseau-asie.org/fr/cahiers-detudes-vietnamiennes-tap-san-nghien-cuu-viet-hoc,GIS : GIS Asie,,,Subscription,(papier seulement),,2022-02-25,sérendipité
1635-0421,,"Environnement, Risques & Santé",FALSE,editorial board,Université Paris Descartes ; Université Paris Diderot,Santé,Health,2,https://www.jle.com/fr/revues/ers/comite,,John Libbey Eurotext,TRUE,Subscription,,,2022-02-23,sérendipité
